Linux 3.10.0-327.el7.x86_64 (cent72_template) 	09/19/16 	_x86_64_	(2 CPU)

00:00:01        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:30:01          2      61.06      0.00      0.60      0.03      0.00     98.32
00:30:01          3      61.06      0.00      0.60      0.03      0.00     98.32
00:30:01          4      61.06      0.00      0.60      0.03      0.00     98.32
00:30:01          5      61.06      0.00      0.60      0.03      0.00     98.32
00:30:01          6      61.06      0.00      0.60      0.03      0.00     98.32
00:30:01          7      61.06      0.00      0.60      0.03      0.00     98.32
00:30:01          8      51.06      0.00      0.60      0.03      0.00     98.32
00:30:01          9      51.06      0.00      0.60      0.03      0.00     98.32
00:30:01         10      51.06      0.00      0.60      0.03      0.00     98.32
00:30:01         11      41.06      0.00      0.60      0.03      0.00     98.32
00:30:01         12      41.06      0.00      0.60      0.03      0.00     98.32
00:30:01         13      41.06      0.00      0.60      0.03      0.00     98.32
00:30:01         14      41.06      0.00      0.60      0.03      0.00     98.32
00:30:01         15      41.06      0.00      0.60      0.03      0.00     98.32
00:40:01        all      50.10      0.00      0.28      0.01      0.00     99.62
00:40:01          0      50.10      0.00      0.31      0.00      0.00     99.59
00:40:01          1      31.06      0.00      0.60      0.03      0.00     98.32
00:40:01          2      31.06      0.00      0.60      0.03      0.00     98.32
00:40:01          3      31.06      0.00      0.60      0.03      0.00     98.32
00:40:01          4      41.06      0.00      0.60      0.03      0.00     98.32
00:40:01          5      41.06      0.00      0.60      0.03      0.00     98.32
00:40:01          6      41.06      0.00      0.60      0.03      0.00     98.32
00:40:01          7      41.06      0.00      0.60      0.03      0.00     98.32
00:40:01          8      31.06      0.00      0.60      0.03      0.00     98.32
00:40:01          9      31.06      0.00      0.60      0.03      0.00     98.32
00:40:01         10      31.06      0.00      0.60      0.03      0.00     98.32
00:40:01         11      31.06      0.00      0.60      0.03      0.00     98.32
00:40:01         12      71.06      0.00      0.60      0.03      0.00     98.32
00:40:01         13      71.06      0.00      0.60      0.03      0.00     98.32
00:40:01         14      41.06      0.00      0.60      0.03      0.00     98.32
00:40:01         15      41.06      0.00      0.60      0.03      0.00     98.32
00:50:02        all      40.10      0.00      0.30      0.01      0.00     99.60
00:50:02          0      20.11      0.00      0.33      0.00      0.00     99.56
00:50:02          1      20.09      0.00      0.27      0.01      0.00     99.63
00:40:01          2      31.06      0.00      0.60      0.03      0.00     98.32
01:00:01          3      31.06      0.00      0.60      0.03      0.00     98.32
01:00:01          4      41.06      0.00      0.60      0.03      0.00     98.32
01:00:01          5      41.06      0.00      0.60      0.03      0.00     98.32
01:00:01          6      41.06      0.00      0.60      0.03      0.00     98.32
01:00:01          7      41.06      0.00      0.60      0.03      0.00     98.32
01:00:01          8      31.06      0.00      0.60      0.03      0.00     98.32
01:00:01          9      31.06      0.00      0.60      0.03      0.00     98.32
01:00:01         10      31.06      0.00      0.60      0.03      0.00     98.32
01:00:01         11      31.06      0.00      0.60      0.03      0.00     98.32
01:00:01         12      31.06      0.00      0.60      0.03      0.00     98.32
01:00:01         13      31.06      0.00      0.60      0.03      0.00     98.32
01:00:01         14      31.06      0.00      0.60      0.03      0.00     98.32
01:00:01         15      31.06      0.00      0.60      0.03      0.00     98.32
